Name	Set	ImageFile	Type	Series	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
																	
																	
Hayate, Master of Yagami Household	All	N2W25-064	CH	Nanoha	R	U	N2/W25-064	0	0	2000	1	0	Book		"[AUTO] This ability can only be activated 2 times each turn. When your other [Magic] Characters or Characters with ""Hayate"" in its name is placed on Stage from Hand, during this turn, this card gets +1000 Power."	[AUTO][(1)] When this card is REVERSE during battle, you may pay the cost. If you did, place this card into Memory.	
Shamal, Overslept	All	N2W32-083	CH	Nanoha	R	U	N2/W32-083	0	0	2000	1	0	Magic		"[AUTO][(1) Place 1 card from Hand into Waiting Room] When this card is placed on Stage from Hand, you may pay the cost. If you did, search your Deck for up to 1 [Magic] Character or Character with ""Hayate"" in its name, show it to your opponent, add it to Hand. Shuffle your Deck afterwards."		
																	
Vita, Heroic Determination	All	N2W32-058	CH	Nanoha	R	R	N2/W32-058	1	1	6500	1	0	Magic, Doll		[AUTO][(1)] When this card attacks, if [For Hayate] is in the Climax Slot, you may pay the cost. If you did, all your Characters, during that turn, gain the following ability. [[AUTO] When this card is placed into Waiting Room from Stage, place this card into its previous slot in REST.]		
																	
Vita, First Time Fighting Together	All	N2W32-066	CH	Nanoha	R	U	N2/W32-066	2	1	4500	1	1	Magic, Doll		[AUTO] When your other Character becomes REVERSE in battle, choose 1 of your Character with [Vita] in its name, during that turn, it gets +1000 Power.	[START] ?mREST this card?n Choose 1 of your Character, during that turn, it gets +3000 Power.	itnto 
Vita, Bureau Worker	All	N2W32-073	CH	Nanoha	R	C	N2/W32-073	2	1	2500	1	1	Magic, Doll		[START] ASSIST 3000 Level 2[(1) Place this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +3000 Power.)		
																	
Vita, Angry Look	All	N2W25-032	CH	Nanoha	R	RR	N2/W25-032	3	2	10000	2	1	Magic, Doll		[CONT] If you have 6 or more Climaxes in Waiting Room, this card gets -1 Level in your Hand.	[CONT] This card cannot become REVERSE by your opponent's Character's [AUTO] ability.	[AUTO][(1)] During your turn, if this card's battle opponent becomes REVERSE, you may pay the cost. If you did, choose 1 of your opponent's Character in the Front Row with Level 2 or lower, place it to the top of the Deck.
																	
For Hayate	All	N2W25-053	CX	Nanoha	R	CC	N2/W25-053					2			[CONT] All your Characters get +2 Soul.		
																	
																	
Wolkenritter Vita	All	NAW12-064_WT	CH	Nanoha	R	C	NA/W12-064	0	0	1500	1	0	Magic, Doll		[C] This card cannot Side Attack.	[A] [(2) Place this card into Memory] When this card becomes REVERSE in battle, you may pay this cost. If you do, choose 1 <Magic> Character in your Waiting Room, return to your hand.	
Battle Instructor Vita	All	NSW04-057_WT	CH	Nanoha	R	U	NS/W04-057	0	0	2000	1	0	Magic, Weapon	My expertise is strikes that crush defenses 	[A] When this card becomes REVERSE, if the Character battling this card is Level 0 or less, you may put that Character to REVERSE.		
